Gene Name,TPM
A1BG,0.047567
A1BG-AS1,0.0
A1CF,0.0
A2M,0.563078
A2M-AS1,0.0
A2ML1,0.0
A2MP1,0.011987
A3GALT2,0.0
A4GALT,0.330263
A4GNT,0.0
AA06,0.0
AAAS,0.017445
AACS,0.0
AACSP1,0.0
AADAC,0.0
AADACL2,0.0
AADACL2-AS1,0.000491
AADACL3,0.002689
AADACL4,0.042714
AADACP1,0.0
AADAT,0.0
AAGAB,0.276947
AAK1,0.030687
AAMDC,0.112643
AAMP,0.802736
AANAT,0.005957
AAR2,0.300693
AARD,0.0
AARS1,0.025778
AARS1P1,0.0
AARS2,0.0
AARSD1,0.0
AARSD1P1,0.0
AASDH,0.121245
AASDHPPT,0.156687
AASS,0.0
AATBC,0.0
AATF,0.0
AATK,0.005908
ABALON,0.053622
ABAT,0.065092
ABCA1,0.003663
ABCA10,0.003061
ABCA11P,0.0
ABCA12,0.0
ABCA13,0.031933
ABCA17P,0.004326
ABCA2,0.0
ABCA3,0.002002
ABCA3P1,0.0
ABCA4,0.0
ABCA5,0.002937
ABCA6,0.160004
ABCA7,0.0
ABCA8,0.0
ABCA9,0.003071
ABCA9-AS1,0.022266
ABCB1,0.004222
ABCB10,3.028107
ABCB10P1,0.026966
ABCB10P3,0.03693
ABCB10P4,0.131054
ABCB11,0.0
ABCB4,0.0
ABCB5,0.018772
ABCB6,0.118589
ABCB7,0.007989
ABCB8,0.0
ABCB9,0.0
ABCC1,0.0
ABCC10,0.013081
ABCC11,0.0
ABCC12,0.010506
ABCC13,0.0557
ABCC2,0.006391
ABCC3,0.017172
ABCC4,2.000415
ABCC5,0.473502
ABCC5-AS1,0.0
ABCC6,0.0
ABCC6P1,0.0
ABCC6P2,0.0
ABCC8,0.000835
ABCC9,0.0
ABCD1,0.0
ABCD1P1,0.0
ABCD1P2,0.0
ABCD1P3,0.0
ABCD1P4,0.0
ABCD1P5,0.0
ABCD2,0.0
ABCD3,0.337617
ABCD4,0.311429
ABCE1,0.44072300000000003
ABCF1,0.00705
