Gene Name,TPM
A1BG,0.1968
A1BG-AS1,0.07585
A1CF,0.003219
A2M,1.152752
A2M-AS1,0.0
A2ML1,0.0
A2MP1,0.0
A3GALT2,0.009982
A4GALT,0.0
A4GNT,0.0
AA06,0.002617
AAAS,0.045708
AACS,0.014134
AACSP1,0.013998
AADAC,0.121967
AADACL2,0.020115
AADACL2-AS1,0.007007
AADACL3,0.0
AADACL4,0.0
AADACP1,0.0
AADAT,0.0
AAGAB,0.341402
AAK1,0.112558
AAMDC,0.149903
AAMP,0.066718
AANAT,0.0
AAR2,0.566207
AARD,0.0
AARS1,0.111754
AARS1P1,0.0
AARS2,0.018983
AARSD1,0.006173
AARSD1P1,0.0
AASDH,0.014997
AASDHPPT,0.135123
AASS,0.0
AATBC,0.033762
AATF,0.006257
AATK,0.003038
ABALON,0.0
ABAT,0.129204
ABCA1,0.001143
ABCA10,0.003061
ABCA11P,0.034297
ABCA12,0.007765
ABCA13,0.033198
ABCA17P,0.009919
ABCA2,0.0
ABCA3,0.002049
ABCA3P1,0.0
ABCA4,0.0
ABCA5,0.028985
ABCA6,0.107517
ABCA7,0.382747
ABCA8,0.005871
ABCA9,0.0
ABCA9-AS1,0.01961
ABCB1,0.017398
ABCB10,1.410962
ABCB10P1,0.000994
ABCB10P3,0.001344
ABCB10P4,0.0
ABCB11,0.0
ABCB4,0.040574
ABCB5,0.009552
ABCB6,0.13258899999999998
ABCB7,0.112137
ABCB8,0.001066
ABCB9,0.0
ABCC1,0.0
ABCC10,0.0
ABCC11,0.003097
ABCC12,0.007229
ABCC13,0.037348
ABCC2,0.0
ABCC3,0.066608
ABCC4,0.949267
ABCC5,0.063491
ABCC5-AS1,0.0
ABCC6,0.0
ABCC6P1,0.0
ABCC6P2,0.001297
ABCC8,0.004438
ABCC9,0.050844
ABCD1,0.005196
ABCD1P1,0.006058
ABCD1P2,0.0
ABCD1P3,0.0
ABCD1P4,0.0
ABCD1P5,0.111973
ABCD2,0.139659
ABCD3,0.268575
ABCD4,0.023785
ABCE1,0.41816
ABCF1,0.022366
ABCF2,0.011051
ABCF2-H2BK1,0.008638
ABCF2P1,0.0
ABCF2P2,0.0
ABCF3,0.213843
ABCG1,0.061059
ABCG2,0.404547
ABCG4,0.0
ABCG5,0.0
ABCG8,0.010245
ABHD1,0.0
ABHD10,0.132132
ABHD11,0.17602
ABHD11-AS1,0.013223
ABHD12,0.0
ABHD12B,0.0
ABHD13,0.157766
ABHD14A,0.0
ABHD14A-ACY1,0.0
ABHD14B,0.116115
ABHD15,0.00356
ABHD16A,0.002983
ABHD16B,0.0
ABHD17A,1.059442
ABHD17AP1,0.007293
ABHD17AP3,0.003597
ABHD17AP4,0.0
ABHD17AP5,0.026041
ABHD17AP6,0.058535
ABHD17AP7,0.0
ABHD17AP8,0.0
ABHD17AP9,0.0
ABHD17B,0.269161
ABHD17C,0.01244
ABHD18,0.33911
ABHD2,0.281506
ABHD3,0.262694
ABHD4,0.013906
ABHD5,0.243
ABHD6,0.0
ABHD8,0.036448
ABI1,2.345932
ABI1P1,0.0
ABI2,0.511782
ABI3,2.491813
ABI3BP,0.190154
ABITRAM,0.722024
ABITRAMP1,0.0
ABL1,0.009139
ABL2,0.028749
ABLIM1,0.547014
ABLIM2,0.151974
ABLIM3,2.85555
ABO,0.014092
ABR,0.046896
ABRA,0.001252
ABRACL,4.915449
ABRAXAS1,0.511561
ABRAXAS2,0.987695
ABT1,0.149517
ABT1P1,0.0
ABTB1,0.90551
ABTB2,0.005697
ACAA1,1.178048
ACAA2,0.287543
ACAA2P1,0.0
ACACA,0.032767
ACACB,0.041891
ACAD10,0.005894
ACAD11,0.04264
ACAD8,0.035043
ACAD9,0.382313
ACADL,0.022357
ACADM,0.084149
ACADS,0.068477
ACADSB,0.026291
ACADVL,0.140712
ACAN,0.0
ACAP1,0.0
ACAP2,1.875817
ACAP3,0.0
ACAT1,0.631783
ACAT2,0.049787
ACBD3,0.086881
ACBD3-AS1,0.0
ACBD4,0.196661
ACBD5,0.305351
ACBD6,1.477484
ACBD7,0.002866
ACBD7-DCLRE1CP1,0.0
ACCS,0.0
ACCSL,0.0
ACD,0.365449
ACE,0.093757
