Gene Name,TPM
A1BG,0.01926
A1BG-AS1,0.033198
A1CF,0.061278
A2M,0.780024
A2M-AS1,0.0
A2ML1,0.0
A2MP1,1.375146
A3GALT2,0.097297
A4GALT,0.0
A4GNT,0.0
AA06,0.0
AAAS,0.035840000000000004
AACS,0.0
AACSP1,0.092021
AADAC,0.0
AADACL2,0.0
AADACL2-AS1,0.075842
AADACL3,0.097076
AADACL4,0.0
AADACP1,0.0
AADAT,0.0
AAGAB,0.472444
AAK1,0.151711
AAMDC,0.0
AAMP,0.174328
AANAT,1.543496
AAR2,0.677949
AARD,0.033635
AARS1,0.300508
AARS1P1,0.0
AARS2,0.005337
AARSD1,0.0
AARSD1P1,0.0
AASDH,0.0
AASDHPPT,0.134046
AASS,0.0
AATBC,0.010184
AATF,0.817059
AATK,0.211012
ABALON,7.825
ABAT,0.059765
ABCA1,0.241811
ABCA10,0.050319
ABCA11P,0.0
ABCA12,0.0
ABCA13,0.0
ABCA17P,0.042709
ABCA2,0.0
ABCA3,0.600206
ABCA3P1,0.0
ABCA4,0.0
ABCA5,0.113085
ABCA6,0.179268
ABCA7,0.0
ABCA8,0.0
ABCA9,0.0
ABCA9-AS1,0.001254
ABCB1,0.069157
ABCB10,1.838204
ABCB10P1,0.0
ABCB10P3,0.0
ABCB10P4,0.0
ABCB11,0.0
ABCB4,0.0
ABCB5,0.087112
ABCB6,0.378911
ABCB7,0.011567
ABCB8,0.00195
ABCB9,0.0
ABCC1,0.0
ABCC10,0.097685
ABCC11,0.0
ABCC12,0.023978
ABCC13,0.092616
ABCC2,0.0
ABCC3,0.333014
ABCC4,0.42813
ABCC5,0.017798
ABCC5-AS1,0.003779
ABCC6,0.0
ABCC6P1,0.09732
ABCC6P2,0.0
ABCC8,0.024515
ABCC9,0.0
ABCD1,0.0
ABCD1P1,0.0
ABCD1P2,0.0
ABCD1P3,0.0
ABCD1P4,0.0
ABCD1P5,0.0
ABCD2,0.018829
ABCD3,0.722674
ABCD4,0.0
ABCE1,0.299664
ABCF1,0.084225
ABCF2,0.163124
ABCF2-H2BK1,0.005958
ABCF2P1,0.0
ABCF2P2,0.0
ABCF3,0.0
ABCG1,0.0
ABCG2,0.5129
ABCG4,0.0
ABCG5,0.0
ABCG8,0.017235
ABHD1,0.0
ABHD10,0.340707
ABHD11,0.0
ABHD11-AS1,0.018318
ABHD12,0.0
ABHD12B,0.0
ABHD13,0.0
ABHD14A,0.0
ABHD14A-ACY1,0.0
ABHD14B,0.356999
ABHD15,0.038301
ABHD16A,0.125229
ABHD16B,0.0229
ABHD17A,0.0
ABHD17AP1,0.0
ABHD17AP3,0.031324
ABHD17AP4,0.0
ABHD17AP5,0.0
ABHD17AP6,0.004501
ABHD17AP7,0.0
ABHD17AP8,0.0
ABHD17AP9,0.0
ABHD17B,0.0
ABHD17C,0.223386
ABHD18,0.109264
ABHD2,0.264268
ABHD3,0.0
ABHD4,0.026922
ABHD5,0.530355
ABHD6,0.0
ABHD8,0.217082
ABI1,1.589643
ABI1P1,0.0
ABI2,0.231386
ABI3,3.836312
ABI3BP,0.0
ABITRAM,0.0
ABITRAMP1,0.0
ABL1,0.282106
ABL2,0.043799
ABLIM1,0.503329
ABLIM2,0.00845
ABLIM3,0.896786
ABO,0.0
ABR,0.061406
ABRA,0.003173
ABRACL,4.393482
ABRAXAS1,0.0
ABRAXAS2,0.361079
ABT1,0.0
ABT1P1,0.0
ABTB1,0.266612
ABTB2,0.338907
ACAA1,0.0
ACAA2,0.192854
ACAA2P1,0.0
ACACA,0.019768
ACACB,0.0
ACAD10,0.112328
ACAD11,0.0
ACAD8,0.0
ACAD9,0.0
ACADL,0.085143
ACADM,0.031517
ACADS,0.439344
ACADSB,0.054405
ACADVL,1.030619
ACAN,0.0
ACAP1,0.0
ACAP2,2.905886
ACAP3,0.009564
ACAT1,0.50593
ACAT2,1.424662
ACBD3,0.171629
ACBD3-AS1,0.0
ACBD4,0.0
ACBD5,0.504628
ACBD6,1.646694
ACBD7,0.057168
ACBD7-DCLRE1CP1,0.0
ACCS,0.0
ACCSL,0.0
ACD,0.0
ACE,0.009892
ACE2,0.123438
ACE3P,0.057878
ACER1,0.0
ACER2,0.304167
ACER2P1,0.0
ACER3,0.0
ACHE,1.230671
ACIN1,0.557803
ACKR1,0.047247
ACKR2,0.065855
ACKR3,0.729153
ACKR4,0.002925
ACKR4P1,0.109744
ACLY,1.604512
ACMSD,0.0
ACNATP,0.0
ACO1,0.134243
ACO2,0.144938
ACOD1,0.0
ACOT1,0.0
ACOT11,0.198794
ACOT12,0.0
ACOT13,0.093688
ACOT2,1.190557
ACOT4,0.12577
ACOT6,0.548167
ACOT7,0.0
ACOT8,0.0
ACOT9,0.612187
ACOX1,0.02165
ACOX2,0.0
ACOX3,0.0
ACOXL,0.028859
ACOXL-AS1,0.022085
ACP1,7.009499
ACP2,0.0
ACP3,0.0
ACP4,0.021984
ACP5,0.0
ACP6,0.0
ACP7,0.0
ACR,0.0
ACRBP,0.124908
ACRP1,0.070799
ACRV1,0.058921
ACSBG1,0.0
ACSBG2,0.0
ACSF2,0.0
ACSF3,0.030225
ACSL1,1.030091
ACSL3,0.027299
ACSL4,0.781979
ACSL5,0.221446
ACSL6,0.116461
ACSM1,0.0
ACSM2A,0.0
ACSM2B,0.0
ACSM3,0.0
ACSM4,0.008311
ACSM5,0.313759
ACSM5P1,0.01703
ACSM6,0.0
ACSS1,0.0
ACSS2,0.0
ACSS3,0.002275
ACTA1,0.050167
ACTA2,0.186634
ACTA2-AS1,0.018147
ACTB,152.11600800000002
ACTBL2,0.0
ACTBP1,0.0
ACTBP10,0.0
ACTBP11,0.039916
ACTBP12,0.0
ACTBP14,0.0
ACTBP15,0.0
ACTBP2,0.01605
ACTBP3,0.0
ACTBP4,0.233707
ACTBP6,0.030312
ACTBP7,0.009548
ACTBP8,0.0
ACTBP9,0.013695
ACTC1,0.0
ACTE1P,0.006181
ACTG1,3.218756
ACTG1P1,0.0
ACTG1P10,0.0
ACTG1P11,0.001941
ACTG1P12,0.0
ACTG1P13,0.0
ACTG1P14,0.0
ACTG1P15,0.0
ACTG1P16,0.016647
ACTG1P17,0.01374
ACTG1P18,0.0
ACTG1P19,0.0
ACTG1P2,0.0
ACTG1P20,0.198954
ACTG1P21,0.0
ACTG1P22,0.0
ACTG1P23,0.01762
