Gene Name,TPM
A1BG,0.123441
A1BG-AS1,0.0
A1CF,0.0
A2M,0.65387
A2M-AS1,0.105706
A2ML1,0.0
A2MP1,0.413909
A3GALT2,0.019403
A4GALT,0.0
A4GNT,0.0
AA06,0.0
AAAS,0.071443
AACS,0.0
AACSP1,0.071185
AADAC,0.0
AADACL2,0.0
AADACL2-AS1,0.069201
AADACL3,0.076039
AADACL4,0.0
AADACP1,0.0
AADAT,0.0
AAGAB,0.958194
AAK1,0.120773
AAMDC,0.0
AAMP,1.471621
AANAT,0.369581
AAR2,0.524835
AARD,0.009189
AARS1,0.0
AARS1P1,0.0
AARS2,0.017133
AARSD1,0.0
AARSD1P1,0.0
AASDH,0.0
AASDHPPT,0.290575
AASS,0.0
AATBC,0.0
AATF,1.436027
AATK,0.194693
ABALON,9.820168
ABAT,0.283659
ABCA1,0.157103
ABCA10,0.074482
ABCA11P,0.0
ABCA12,0.0
ABCA13,0.0
ABCA17P,0.033012
ABCA2,0.0
ABCA3,0.392496
ABCA3P1,0.0
ABCA4,0.0
ABCA5,0.038898
ABCA6,0.274466
ABCA7,0.0
ABCA8,0.0
ABCA9,0.0
ABCA9-AS1,0.037782
ABCB1,0.219922
ABCB10,5.797662
ABCB10P1,0.0
ABCB10P3,0.0
ABCB10P4,0.0
ABCB11,0.0
ABCB4,0.0
ABCB5,0.075638
ABCB6,0.295308
ABCB7,0.016473
ABCB8,0.006242
ABCB9,0.0
ABCC1,0.0
ABCC10,0.0
ABCC11,0.0
ABCC12,0.046664
ABCC13,0.225094
ABCC2,0.0
ABCC3,0.61781
ABCC4,2.841226
ABCC5,0.671228
ABCC5-AS1,0.0
ABCC6,0.0
ABCC6P1,0.058857
ABCC6P2,0.0
ABCC8,0.027433
ABCC9,0.0
ABCD1,0.0
ABCD1P1,0.0
ABCD1P2,0.0
ABCD1P3,0.0
ABCD1P4,0.0
ABCD1P5,0.0
ABCD2,0.0
ABCD3,0.0
ABCD4,0.0
ABCE1,0.722234
ABCF1,0.293721
ABCF2,0.939742
ABCF2-H2BK1,0.001979
ABCF2P1,0.0
ABCF2P2,0.0
ABCF3,0.348181
ABCG1,0.0
ABCG2,0.20642
ABCG4,0.0
ABCG5,0.0
ABCG8,0.009397
ABHD1,0.0
ABHD10,0.881873
ABHD11,0.0
ABHD11-AS1,0.030026
ABHD12,0.88254
ABHD12B,0.0
ABHD13,0.765051
ABHD14A,0.0
ABHD14A-ACY1,0.0
ABHD14B,0.159301
ABHD15,0.133783
ABHD16A,0.0
ABHD16B,0.0
ABHD17A,0.452544
ABHD17AP1,0.0
ABHD17AP3,0.0
ABHD17AP4,0.0
ABHD17AP5,0.0
ABHD17AP6,0.0
ABHD17AP7,0.0
ABHD17AP8,0.0
ABHD17AP9,0.0
ABHD17B,0.0
ABHD17C,0.098555
ABHD18,0.091242
ABHD2,0.715805
ABHD3,0.0
ABHD4,0.402868
ABHD5,2.088655
ABHD6,0.0
ABHD8,0.087567
ABI1,3.820035
ABI1P1,0.0
ABI2,0.240225
ABI3,3.579636
ABI3BP,0.0
ABITRAM,0.367101
ABITRAMP1,0.0
ABL1,0.229122
ABL2,0.096492
ABLIM1,1.638386
ABLIM2,0.0
ABLIM3,0.773348
ABO,0.0
ABR,0.120627
ABRA,0.002438
ABRACL,5.982894
ABRAXAS1,0.6646029999999999
